ezor1	sugqjr	ezor2	sugmqor	sfr	prq	psuq	citut	hsbr	m	tarik_hosfa
עיר צידון	בתוך	נחלת אשר	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		המחשב	2004-09-05 18:40:32
עיר צידון	בתוך	נחלת זבולון	אחר					לפי הברכה , בראשית מט יג : זבולן לחוף ימים ישכן והוא לחוף אנית וירכתו על צידן	המחשב	2004-09-05 18:42:24
עיר צמרים	בתוך	נחלת בנימין	פסוק	יהושע	יח	22	ובית הערבה וצמרים ובית-אל		אביתר	2004-10-20 20:25:58
עיר צפון	בתוך	נחלת אפרים	פסוק	יהושע	טז	6	ויצא הגבול הימה המכמתת מצפון	המכמתת = סוכות , סוכות ליד צפון	המחשב	2004-08-31 19:15:58
עיר צפון	בתוך	נחלת אשר	פסוק	יהושע	יט	27	ופגע בזבולן ובגי יפתח-אל צפונה בית העמק		המחשב	2004-08-31 19:03:01
עיר צפון	בתוך	נחלת גד	פסוק	יהושע	יג	27	ובעמק בית הרם ובית נמרה וסכות וצפון		המחשב	2004-08-31 18:57:24
עיר צפון	בתוך	נחלת זבולון	פסוק	יהושע	יט	14	ונסב אתו הגבול מצפון חנתן והיו תצאתיו גי יפתח-אל		המחשב	2004-08-31 19:17:52
עיר צר	נקרא גם	בית צור	אותיות						אביתר	2004-09-07 19:29:23
עיר צר	בתוך	נחלת אשר	פסוק	יהושע	יט	29	ושב הגבול הרמה ועד עיר מבצר צר ושב הגבול חסה		המחשב	2004-09-07 19:30:51
עיר צר	בתוך	נחלת נפתלי	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		המחשב	2004-09-07 19:32:05
עיר צרעה	בתוך	נחלת דן	פסוק	יהושע	יט	41	ויהי גבול נחלתם צרעה ואשתאול ועיר שמש		אביתר	2004-11-09 19:01:54
עיר צרת	בתוך	נחלת ראובן	פסוק	יהושע	יג	18	וקריתים ושבמה וצרת השחר בהר העמק		אביתר	2005-03-07 19:36:11
עיר קדמות	בתוך	נחלת ראובן	פסוק	יהושע	יג	17	ויהצה וקדמת ומפעת		אביתר	2005-03-07 19:33:00
עיר קדש	בתוך	נחלת נפתלי	פסוק	יהושע	יט	37	וקדש ואדרעי ועין חצור		אביתר	2004-11-08 18:41:06
עיר קום	בתוך	נחלת נפתלי	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:22:43
עיר קטת	בתוך	נחלת זבולון	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם ..		אביתר	2004-11-16 19:29:24
עיר קין	נקרא גם	עיר קנה	אותיות						המחשב	2004-09-05 18:36:33
עיר קינה	נקרא גם	עיר קנה	אותיות						המחשב	2004-09-05 18:35:36
עיר קנה	בתוך	נחלת אפרים	פסוק	יהושע	טז	8	מתפוח ילך הגבול ימה נחל קנה והיו תצאתיו הימה		אביתר	2004-09-21 18:13:39
עיר קנה	בתוך	נחלת אשר	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה..		המחשב	2004-09-05 18:33:10
עיר קנה	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	9	וירד הגבול נחל קנה נגבה לנחל ערים האלה לאפרים בתוך ערי מנשה וגבול מנשה מצפון לנחל		אביתר	2004-09-26 19:10:52
עיר קנה	נקרא גם	עיר יקנעם	אותיות						אביתר	2004-09-05 18:37:55
עיר קנה	נקרא גם	עיר קין	אותיות						אביתר	2004-09-05 18:36:33
עיר קנה	נקרא גם	עיר קינה	אותיות						אביתר	2004-09-05 18:35:36
עיר קצין	בתוך	נחלת זבולון	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:22:14
עיר קציץ	בתוך	נחלת בנימין	פסוק	יהושע	יח	21	והיו הערים למטה בני בנימן למשפחותיהם יריחו ובית-חגלה ועמק קציץ		אביתר	2004-10-20 20:23:36
עיר קריתים	בתוך	נחלת ראובן	פסוק	יהושע	יג	18	וקריתים ושבמה וצרת השחר בהר העמק		אביתר	2005-03-07 19:34:46
עיר קשיון	בתוך	נחלת יששכר	פסוק	יהושע	יט	20	והרבית וקשיון ואבץ		אביתר	2004-11-16 19:58:56
עיר רבה	בתוך	נחלת אשר	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		המחשב	2004-09-05 18:46:51
עיר רבה	בתוך	נחלת גד	פסוק	יהושע	יג	25	..וחצי ארץ בני עמון עד-ערוער אשר על-פני רבה		המחשב	2004-09-05 18:48:01
עיר רבה	נקרא גם	עיר רבית	אותיות						אביתר	2004-09-05 18:50:11
עיר רבית	בתוך	נחלת יששכר	פסוק	יהושע	יט	20	והרבית וקשיון ואבץ		המחשב	2004-09-05 18:49:02
עיר רבית	נקרא גם	עיר רבה	אותיות						המחשב	2004-09-05 18:50:11
עיר רבץ	נקרא גם	עיר אבץ	אחר					לפי תרגום השבעים , ולפי הרמז בברכה "רבץ בין המשפתיים	המחשב	2004-08-30 18:34:13
עיר רבץ	נקרא גם	עיר ישבי	אחר					רבץ פירושו ישב	המחשב	2004-08-30 18:35:25
עיר רחוב	נקרא גם	בית רחוב	אותיות						אביתר	2004-09-02 19:15:45
עיר רחוב	בתוך	נחלת אשר	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		המחשב	2004-09-02 19:07:21
עיר רחוב	בתוך	נחלת גד	אחר					לפי הברכה לגד : " ברוך מרחיב גד כלביא ""	המחשב	2004-09-02 19:14:23
עיר רחוב	נקרא גם	עיר יפלט	אחר					רחוב = שוק = חוצות = חוץ = לצאת = לשרוד = לפלוט , יפלט מצאצאי אשר	אביתר	2004-09-02 19:19:08
עיר רחוב	נקרא גם	עיר רחובות	אותיות						אביתר	2004-09-02 19:15:10
עיר רחוב	נקרא גם	עיר שריד	אחר					רחוב = שוק = חוצות = חוץ = לצאת = לשרוד = לפלוט	אביתר	2004-09-02 19:17:47
עיר רחובות	נקרא גם	עיר רחוב	אותיות						המחשב	2004-09-02 19:15:10
עיר רמה	נקרא גם	בית הרם	אותיות						אביתר	2004-09-05 19:00:37
עיר רמה	בתוך	נחלת אשר	פסוק	יהושע	יט	29	ושב הגבול הרמה ועד עיר מבצר צר..		המחשב	2004-09-05 18:55:25
עיר רמה	בתוך	נחלת בנימין	פסוק	יהושע	יח	25	גבעון והרמה ובארות		המחשב	2004-09-05 18:56:36
עיר רמה	בתוך	נחלת נפתלי	פסוק	יהושע	לב	36	ואדמה והרמה וחצור		המחשב	2004-09-05 18:57:39
עיר רמון	בתוך	נחלת זבולון	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:23:00
עיר רמת	בתוך	נחלת יששכר	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ		אביתר	2004-11-16 20:01:37
עיר רקם	בתוך	נחלת בנימין	פסוק	יהושע	יח	27	ורקם וירפאל ותראלה		אביתר	2004-10-20 20:46:15
עיר רקת	בתוך	נחלת נפתלי	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-11-08 18:31:55
עיר שארה	נקרא גם	בית לחם	אחר					שאר = לחם , "..הגם-לחם יוכל תת אם-יכין שאר לעמו " (תהילים עח כ)	אביתר	2004-10-04 18:58:57
עיר שארה	בתוך	נחלת אפרים	משפחה						אביתר	2004-10-04 18:46:09
עיר שבמה	בתוך	נחלת ראובן	פסוק	יהושע	יג	18	וקריתים ושבמה וצרת השחר בהר העמק		אביתר	2005-03-07 19:35:31
עיר שונם	בתוך	נחלת יששכר	פסוק	יהושע	יט	18	ויהי גבולם יזרעאלה והכסולות ושונם		אביתר	2004-11-16 19:51:28
עיר שחצימה	בתוך	נחלת יששכר	פסוק	יהושע	יט	22	ופגע הגבול בתבור ושחצימה ובית שמש ..		אביתר	2004-11-16 20:07:43
עיר שיאון	בתוך	נחלת יששכר	פסוק	יהושע	יט	19	וחפרים ושיאון ואנחרת		אביתר	2004-11-16 19:55:43
עיר שיחור	בתוך	נחלת אשר	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	שיחור רשומה בנחלת אשר	המחשב	2004-08-29 19:15:56
עיר שיחור	נקרא גם	עיר אשחור	אותיות						אביתר	2004-08-29 19:32:39
עיר שיחור	נקרא גם	עיר השחר	אותיות						אביתר	2004-08-29 19:32:20
עיר שכם	סמוך ל	חלקת השדה	פסוק	בראשית	לג	19	ויקן את חלקת השדה אשר נטה שם אהלו מיד בני חמור אבי שכם..		המחשב	2004-08-25 18:58:03
עיר שכם	בתוך	נחלת אפרים	פסוק	דברי הימים א	ז	28	..ומשבותם בית-אל .. ולמזרח נערן ולמערב גזר .. ושכם .. עד-עיה		אביתר	2004-09-26 18:51:36
עיר שכם	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:03:41
עיר שלה	בתוך	נחלת אפרים	פסוק	יהושע	טז	6	ויצא הגבול הימה המכמתת מצפון ונסב הגבול מזרחה תאנת שלה ועבר אותו ממזרח ינוחה		אביתר	2004-09-21 17:58:28
עיר שמידע	בתוך	נחלת חצי מנשה - מערב	משפחה						אביתר	2004-10-04 19:45:38
עיר שמרון	בתוך	נחלת זבולון	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם ..		אביתר	2004-11-16 19:30:52
עיר שמש	בתוך	נחלת דן	פסוק	יהושע	יט	41	ויהי גבול נחלתם צרעה ואשתאול ועיר שמש		המחשב	2004-08-30 18:48:42
עיר שמש	נקרא גם	עיר השמש	אותיות						המחשב	2004-08-30 18:51:58
עיר שעלבין	בתוך	נחלת דן	פסוק	יהושע	יט	42	ושעלבין ואילון ויתלה		אביתר	2004-11-09 19:05:59
עיר שריד	בתוך	נחלת זבולון	פסוק	יהושע	יט	12	ושב משריד קדמה מזרח השמש על-גבול כסלת תבר		המחשב	2004-09-02 19:10:08
עיר שריד	נקרא גם	עיר רחוב	אחר					רחוב = שוק = חוצות = חוץ = לצאת = לשרוד = לפלוט	המחשב	2004-09-02 19:17:48
עיר תאנה	בתוך	נחלת אפרים	פסוק	יהושע	טז	6	ויצא הגבול הימה המכמתת מצפון ונסב הגבול מזרחה תאנת שלה ועבר אותו ממזרח ינוחה		אביתר	2004-09-21 17:55:18
עיר תבור	בתוך	נחלת יששכר	פסוק	יהושע	יט	22	ופגע הגבול בתבור ושחצימה ובית שמש ..		אביתר	2004-11-16 20:07:04
עיר תמנה	בתוך	נחלת אפרים	פסוק	שופטים	ב	9	ויקברו אותו בגבול נחלתו בתמנת-חרס בהר אפרים מצפון להר-געש		אביתר	2004-09-21 18:25:05
עיר תמנתה	בתוך	נחלת דן	פסוק	יהושע	יט	43	ואילון ותמנתה ועקרון		אביתר	2004-11-09 19:10:11
עיר תענך	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר ..עין-דר ..תענך ..מגדו ..		אביתר	2004-09-26 19:18:35
עיר תפוח	בתוך	נחלת אפרים	פסוק	יהושע	טז	8	מתפוח ילך הגבול ימה נחל קנה והיו תצאתיו הימה		אביתר	2004-09-21 18:11:29
עיר תפוח	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:09:04
עיר תפוח	נקרא גם	עיר אביעזר	אחר					אבי-עזר , עזר = עזרר / חזרר / חזרן / חזורה = תפוח (בר) , זערור בערבית	אביתר	2004-10-04 19:37:57
עיר תראלה	בתוך	נחלת בנימין	פסוק	יהושע	יח	27	ורקם וירפאל ותראלה		אביתר	2004-10-20 20:47:33
עיר תרמה	בתוך	נחלת אפרים	אחר					העיר תרמה / ארומה / מרמה , שכנה ליד שכם (בהר אפרים)	אביתר	2004-10-04 19:11:22
עיר תרמה	נקרא גם	עיר ארומה	אותיות					הערה , תרמה מוזכרת בתרגום השבעים "ויצא הגבול הימה המכמתת מצפון (לתרמה) "	אביתר	2004-10-04 19:06:54
עיר תרמה	נקרא גם	עיר מרמה	אותיות						אביתר	2004-10-04 19:07:55
עיר תרצה	בתוך	נחלת חצי מנשה - מערב	משפחה						אביתר	2004-09-26 19:24:29
עמק המלך	סמוך ל	בית הכרם	אחר					מגילה חיצונית לבראשית , עמק המלך = עמק שוה = בקעת בית הכרם	אביתר	2004-08-29 19:05:54
עמק המלך	נקרא גם	עיר מלך	אותיות						אביתר	2004-11-11 10:32:19
עמק המלך	נקרא גם	עמק שוה	פסוק	בראשית	יד	17	...עמק שוה הוא עמק המלך		אראל	2004-11-11 10:27:19
עמק שוה	נקרא גם	עמק המלך	פסוק	בראשית	יד	17	...עמק שוה הוא עמק המלך		אראל	2004-11-11 10:27:19
צלע האלף	בתוך	נחלת בנימין	פסוק	יהושע	יח	28	וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים ..		אביתר	2004-10-20 20:48:39
קרית יערים	בתוך	נחלת בנימין	פסוק	יהושע	יח	28	וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים ..		אביתר	2004-10-20 20:49:50
תמנת חרס	בתוך	נחלת אפרים	פסוק	שופטים	ב	9	ויקברו אותו בגבול נחלתו בתמנת-חרס בהר אפרים מצפון להר-געש		אביתר	2004-09-21 18:27:14
