"qod","sug","tvnit","kotrt","ktovt","m","l","tarik_jlixa","tarik_hosfa"
"פסיקה נגד הגמרא?","דיון",,"האם מותר לאדם לפסוק נגד הגמרא לעצמו?","../axrimpl/hydepark/900444_1.html","ישרן","""עצור כאן חושבים""",,30/04/2004 11:44:18
"הריגת כינה בשבת","דיון",,"הריגת כינה בשבת - היחס להלכות שמבוססות על מידע מדעי מוטעה","../axrimpl/hydepark/899207_1.html","ממללא","""עצור כאן חושבים""",,30/04/2004 11:44:18
"עונש לאנסים?","דיון",,"עונש לאנסים בתורה?","../axrimpl/hydepark/896478_1.html","ישרן","""עצור כאן חושבים""",,30/04/2004 11:44:18
"מידת ההעמקה","מאמר",,"מידת ההעמקה","../axrimpl/hydepark/907024_1.html","אראל","""עצור כאן חושבים""",,30/04/2004 11:44:18
"הגדרה לעומת דוגמה","מאמר",,"הגדרה לעומת אבטיפוס","../axrimpl/hydepark/902813_1.html","אראל","""דרישת השם באמצעות התורה שבכתב בתורה שבכתב""",,30/04/2004 11:44:18
"גניבת הליכוד","מאמר",,"""גניבת"" הליכוד ע""י תנועת ""מנהיגות יהודית""","../axrimpl/moreshet/39290.html","ר' שרלו","שות מורשת",,30/04/2004 11:44:18
"מאגיה?","דיון",,"דברים אלו וכיוצא בהן","../axrimpl/hydepark/911352_1.html","אראל","""עצור כאן חושבים""",,30/04/2004 11:44:18
"הלכות יום העצמאות","מאמר",,"הלכות יום העצמאות","../axrimpl/hydepark/410429_1.html","?","מקומות שונים",,30/04/2004 11:44:18
"הלל ווידוי ביום אחד","דיון",,"הלל ווידוי ביום אחד","../axrimpl/hydepark/912140_1.html","אראל","""עצור כאן חושבים""",,30/04/2004 11:44:18
"טקסים - אז והיום","דרך",,"טקסים - אז והיום","../axrimpl/hydepark/912186_1.html","אראל","""עצור כאן חושבים""",,30/04/2004 11:44:18
"רמת הוודאות","מאמר",,"רמת הוודאות","../axrimpl/hydepark/912195_1.html","אראל","""עצור כאן חושבים""",,30/04/2004 11:44:18
"הנחות במסעדות כשרות","אתר",,"הַכְּשֵרָה - כרטיס שנותן הנחות במסעדות כשרות","http://www.kipa.co.il/kshera/","אתר ""כיפה""",,,30/04/2004 16:03:27
"ענישת מזיקים","מארוע","mcwot","עונשים לאנשים שגורמים נזקי גוף","sug/enyjt_mzyqym.html",,,,30/04/2004 16:20:04
"שמחת חג לבודדים","דרך",,"מצוות החג - לשמח את הבודדים","mamr/gyal.html","אראל",,,02/05/2004 2:07:39
"למה לא להמר","דרך",,"למה לא להמר","mamr/himur.html","אראל",,,02/05/2004 2:07:42
"רבנים","אוסף","osf","רבנים","mqor/rbnim.html",,,,06/05/2004 19:42:08
"פרדוקס ""עשה לך רב""","מאמר",,"""עשה לך רב"" - הפרדוקס וסכנת הטעות","../axrimpl/hydepark/919419_1.html","אראל","""דרישת השם באמצעות התורה שבכתב""",,06/05/2004 19:44:35
"רבנים וגאוה","מאמר",,"""עשה לך רב"" - סכנת הגאוה","../axrimpl/hydepark/926125_1.html","אראל","""דרישת השם באמצעות התורה שבכתב""",,06/05/2004 19:47:27
"מזון לנזקקים","מאגר",,"ארגונים שמחלקים אוכל לנזקקים","../_magr/tlpn_mzon_lnzqqim.txt",,,,09/05/2004 16:02:35
"על""ם","דרך",,"על""ם - סיוע לנוער במצוקה","http://www.elem.org.il",,,,09/05/2004 17:00:02
"פעמונים","דרך",,"פעמונים - לעזור למשפחות במצוקה לעמוד על הרגליים","http://paamonim.com",,,,09/05/2004 17:06:49
"סמכות מהתורה?","דיון",,"למי התורה נותנת סמכות לקבוע הלכות?","../nxtboard/messages/2342.html","אראל","אתר נח""ת",,24/05/2004 21:29:46
"מי יותר חכם?","מאמר",,"""הרבנים יותר חכמים ולכן צריך לשמוע בקולם"" -  האמנם?","mqor/xkma.html","אראל",,,24/05/2004 21:30:54
"רבנים ואחדות","מאמר",,"האם שמיעה בקול רבנים תורמת לאחדות?","mqor/axdut.html","אראל",,,24/05/2004 21:50:25
"לסמוך על השכל?","מאמר",,"האם מותר לסמוך על השכל בלימוד התורה?","mqor/skl.html","אראל",,,24/05/2004 22:00:02
"עזרה לחולים","מאגר",,"ארגונים שעוזרים לחולים","../_magr/tlpn_ezra_lxolim.txt",,,,28/05/2004 11:57:53
"מסורת","אוסף","osf","מסורת","mqor/msort.html",,,,28/05/2004 13:23:46
"סוד","אוסף","osf","תורת הנסתר וספר הזוהר","mqor/nstr.html",,,,28/05/2004 13:24:08
"בני לוט","מאדם","mcwot_ecm","היחס לבני לוט - עמון ומואב","sug/ecm_adm_emwn_wmwab.html",,,,01/06/2004 3:28:38
"סידור ארץ ישראל","דיון",,"סידור ארץ ישראל","../axrimpl/hydepark/922317_1.html",,"""עצור כאן חושבים""",,01/06/2004 4:23:48
"קבלה חסידות למדנות","דרך",,"שיטת לימוד חדשנית - שילוב קבלה, חסידות ולמדנות","../axrimpl/hydepark/924676_1.html","יוני","""עצור כאן חושבים""",,01/06/2004 4:24:59
"חוק שימור החומרה","דיון",,"חוק שימור החומרה - החמרות והקלות במידת שמירת המצוות לאורך הדורות","../axrimpl/hydepark/923381_1.html","מחברים שונים","""עצור כאן חושבים""",,01/06/2004 4:25:01
"גוף נקי ותפילין","דיון",,"נקיות הגוף בזמן הנחת תפילין","../axrimpl/hydepark/926224_1.html","מחברים שונים","""עצור כאן חושבים""",,01/06/2004 4:25:01
"חוקי הגירה","דיון",,"חוקי ההגירה למדינת התורה","../axrimpl/hydepark/954466_1.html","אראל","""דרישת השם באמצעות התורה שבכתב""",,01/06/2004 4:25:01
"שבעה נקיים מהתורה?","דיון",,"שבעה נקיים - לא מהתורה","../axrimpl/hydepark/940520_1.html","מחברים שונים","""דרישת השם באמצעות התורה שבכתב""",,01/06/2004 4:25:01
"משקל מקורות מידע","דיון",,"משקל המסורת מול מקורות מידע אחרים","../axrimpl/hydepark/810356_1.html","מחברים שונים","""דרישת השם באמצעות התורה שבכתב""",,01/06/2004 4:25:01
"לא יבוא מואבי","דיון",,"לא יבוא מואבי - ולא מואבית?","../axrimpl/hydepark/949650_1.html","מחברים שונים","""דרישת השם באמצעות התורה שבכתב""",,01/06/2004 4:25:01
"סיפורי הלכה?","דיון",,"האם אפשר להאמין לסיפורים שמספרים על פסיקות-הלכה של גדולי הדורות הקודמים?","../axrimpl/hydepark/938921_1.html","נישטאיך","""עצור כאן חושבים""",,01/06/2004 4:25:01
"הצלת גופות?","דיון",,"סיכון חיים כדי להציל גופות?","../axrimpl/hydepark/932556_1.html","מחברים שונים","""עצור כאן חושבים""",,01/06/2004 4:25:01
"אכילת טומאה?","דיון",,"האם אסור לאכול מאכלים מטמאים?","../axrimpl/hydepark/935416_1.html","מחברים שונים","""דרישת השם באמצעות התורה שבכתב""",,01/06/2004 4:25:01
"תורה לעומת זוהר","דיון",,"מסורת התורה לעומת מסורת הזוהר","../axrimpl/hydepark/929286_1.html","מחברים שונים","""עצור כאן חושבים""",,01/06/2004 4:25:01
"תפילין ונשים","מאמר",,"תפילין במקום שיש בו נשים לא צנועות","../axrimpl/klli/moriya.org.il.shut.view.ask.asp.id.11690.html","ר' שמואל אליהו","שו""ת מוריה",,06/06/2004 22:32:25
"מתשס""א לתשס""ח","דרך",,"מתשס""א לתשס""ח: מסקנות מהשמיטה הקודמת ורעיונות לשמיטה הבאה","../daat/kitveyet/emunat/45/04504.htm","ר' יהודה הלוי עמיחי","אמונת עתיך 45",,13/06/2004 14:16:07
"ילפותות","אתר",,"ילפותות - אתר לבירור המידות והכללים המובילים מהתורה שבכתב לקביעת ההלכה","http://www.yalfutot.com/",,,,15/06/2004 15:16:20
"יחסי מין עם קרובות","מרצון","mcwot","איסור יחסי מין עם נשים הקרובות זו לזו","sug/yxsy_myn_em_qrwbwt.html",,,,04/01/2004 21:45:19
"אתרי שידוכים","אתר",,"היכרויות ושידוכים ברשת","http://dmoz.org/World/Hebrew/חברה/דת_ורוחניות/יהדות/שידוכים/",,"המדריך הפתוח",,23/08/2004 10:54:22
"על הגמחים","מאמר",,"גמ""חי כספים - בעיות ופתרונות","ribit0/bclel.html","בצלאל כהן",,,24/06/2004 9:14:01
"אהבת אזרח","מאדם","mcwot","אהבת כל אדם מישראל","sug/ahbt_azrx.html",,,,04/07/2004 15:01:07
"אהבת גר","מאדם","mcwot","אהבת גֵר","sug/ahbt_gr.html",,,,04/07/2004 15:01:11
"אהבת ה'","מרגע","mcwot","אהבת ה'","sug/ahbt_h_.html",,,,04/07/2004 15:01:11
"איבוד אלילים","מעצם","mcwot","איבוד אלילים","sug/aybwd_alylym.html",,,,04/07/2004 15:01:11
"עושק","מעצם","mcwot","עושק = עיכוב רכוש של אחרים שנמצא בידינו","sug/ayswr_ewjq.html",,,,04/07/2004 15:01:11
"אי-ציות לנביא אלילים","מאדם","mcwot","אי-ציות לנביא אלילים","sug/ay-cywt_lnbya_alylym.html",,,,04/07/2004 15:01:11
"אכילה מתבואה חדשה","מזמן","mcwot","אכילה מתבואה חדשה (לפני הקרבת העומר הראשון)","sug/akylh_mtbwah_xdjh.html",,,,04/07/2004 15:01:11
"אכילת אבר מן החי","מרצון","mcwot","אכילת אבר מן החי","sug/akylt_abr_mn_hxy.html",,,,04/07/2004 15:01:11
"אכילת ביכורים","מרצון","mcwot","אכילת ביכורים","sug/akylt_bykwrym.html",,,,04/07/2004 15:01:11
"אכילת בכור בהמה","מרצון","mcwot","אכילת בכור בהמה","sug/akylt_bkwr_bhmh.html",,,,04/07/2004 15:01:11
"אכילת בשר העולה","מרצון","mcwot","אכילת בשר העולה","sug/akylt_bjr_hewlh.html",,,,04/07/2004 15:01:14
"אכילת בשר הפסח","מזמן","mcwot","אכילת בשר הפסח","sug/akylt_bjr_hpsx.html",,,,04/07/2004 15:01:14
"אכילת בשר הפסח לנכרי","מזמן","mcwot","אכילת בשר הפסח לנכרי","sug/akylt_bjr_hpsx_lnkry.html",,,,04/07/2004 15:01:14
"אכילת בשר הפסח לערל","מזמן","mcwot","אכילת בשר הפסח לערל","sug/akylt_bjr_hpsx_lerl.html",,,,04/07/2004 15:01:14
"אכילת בשר הפסח לתושב","מזמן","mcwot","אכילת בשר הפסח לתושב","sug/akylt_bjr_hpsx_ltwjb.html",,,,04/07/2004 15:01:14
"אכילת בשר קודש שנטמא","מארוע","mcwot","אכילת בשר קודש שנטמא","sug/akylt_bjr_qwdj_jnfma.html",,,,04/07/2004 15:01:14
"אכילת דם","מרצון","mcwot","אכילת דם","sug/akylt_dm.html",,,,04/07/2004 15:01:14
"אכילת שרצים","מרצון","mcwot","איסור אכילת שרצים","sug/akylt_jrcim.html",,,,04/07/2004 15:01:14
"אכילה - בשר קודש - חג פסח","מעצם","mcwot_ecm","אכילה - בשר הפסח","sug/rcon-ecm-erua_akylh-bjr-psx.html",,,,07/07/2004 9:07:37
"אכילה - בשר קודש","מעצם","mcwot_ecm","אכילה - בשר קודש","sug/rcon-ecm_akylh-bjr_qwdj.html",,,,07/07/2004 9:07:37
"אכילה - לחם","מעצם","mcwot_ecm","אכילת לחם","sug/rcon-ecm_akylh-lxm.html",,,,07/07/2004 9:07:37
"אכילה - לחם קודש - כהן","מעצם","mcwot_ecm","אכילת לחם קודש (מנחה)","sug/rcon-ecm_akylh-lxm_qwdj.html",,,,07/07/2004 9:07:37
"אכילה - מעשר שני","מעצם","mcwot_ecm","אכילת מעשר שני","sug/rcon-ecm_akylh-mejr_jny.html",,,,07/07/2004 9:07:37
"מצוות לפי רעיון","מערך","mcwot","רעיונות שמשותפים לכמה מצוות שונות","sug/rayon.html",,,,07/07/2004 12:51:49
"פסלים","מעצם","mcwot_ecm","פסלים","sug/ecm_pslym.html",,,,07/07/2004 13:18:50
"פרי האדמה","מעצם","mcwot_ecm","פרי האדמה: דגנים, פשתן","sug/ecm_dgn.html",,,,16/07/2004 12:39:09
"אכילת תקרובת אלילים","מרצון","mcwot","איסור אכילת מזון שהוקרב לאלילים","sug/akylt_tqrwbt_alylym.html",,,,07/07/2004 13:23:07
"הנאת תקרובת אלילים","מעצם","mcwot","איסור הנאה ממזון או רכוש שהוקרב לאלילים","sug/hnat_tqrwbt_alylym.html",,,,07/07/2004 13:23:21
"השתחויה לאלילים","מרצון","mcwot","איסור השתחויה לאלילים","sug/hjtxwyh_lalylym.html",,,,07/07/2004 13:23:21
"השתחויה על אבן","מרצון","mcwot","איסור השתחויה על אבן","sug/hjtxwyh_el_abn.html",,,,07/07/2004 13:23:21
"בחירת בת זוג - איש ואשה","מרצון","mcwot_rcon","בחירת בן או בת זוג לנישואין","sug/rcon-ecm_bxirt_bt_zwg-ajh.html",,,,07/07/2004 14:24:46
"עשיית אליל","מרצון","mcwot","עשיית עבודה-זרה","sug/ejyyt_alyl.html",,,,07/07/2004 16:01:59
"אכילה - חטאת - כהן","מעצם","mcwot_ecm","אכילת בשר קרבן חטאת ואשם","sug/rcon-ecm_akylh-xfat.html",,,,07/07/2004 16:31:25
"הקרבה - חטאת - כהן","מרצון","mcwot_rcon","הקרבת קרבנות חטאת ואשם","sug/rcon-ecm_hqrbh-xfat.html",,,,07/07/2004 16:37:20
"שימוש","מרצון","mcwot_rcon","שימוש (""הנאה"") בחפצים אסורים","sug/rcon_jymwj.html",,,,07/07/2004 17:21:55
"בדיקת סוטה","מארוע","mcwot","בדיקת סוטה","sug/bdyqt_swfh.html",,,,07/07/2004 18:00:10
"בניית עיר הנידחת","מאדם","mcwot","בניית עיר הנידחת","sug/bnyyt_eyr_hnydxt.html",,,,07/07/2004 18:00:10
"הנאת עיר הנידחת","מאדם","mcwot","איסור הנאה מרכושה של עיר הנידחת","sug/hnat_eyr_hnydxt.html",,,,07/07/2004 18:00:10
"לקיחת שבויה","מארוע","mcwot","לקיחת שבויה","sug/lqyxt_jbwyh.html",,,,07/07/2004 18:00:10
"מכירת שבויה","מארוע","mcwot","מכירת שבויה","sug/mkyrt_jbwyh.html",,,,07/07/2004 18:00:10
"נבואת שקר","מרצון","mcwot","איסור נבואת שקר","sug/nbwat_jqr.html",,,,07/07/2004 18:00:10
"קרבן סוטה","מעצם","mcwot","קרבן שמביאה אישה נשואה שהתייחדה עם גבר זר","sug/qrbn_swfh.html",,,,07/07/2004 18:00:10
"העבדת שבויה","מארוע","mcwot","האיסור לשעבד שבוית-מלחמה","sug/jxrwr_jbwyh.html",,,,07/07/2004 18:00:10
"שריפת עיר הנידחת","מאדם","mcwot","שריפת עיר הנידחת","sug/jrypt_eyr_hnydxt.html",,,,07/07/2004 18:00:10
"ערל","מאדם","mcwot_ecm","ערל = אדם שלא נימול","sug/ecm_adm_erl.html",,,,07/07/2004 18:53:53
"בגדי הטמאים","מארוע","mcwot","חובת הטמאים לקרוע את בגדיהם לאות אבל","sug/htnhgwt_hfmaym_bgd.html",,,,07/07/2004 19:47:38
"חבירה","מרצון","mcwot","חבירת חבר","sug/xbyrh.html",,,,07/07/2004 20:11:46
"אכילת הפסח השני","מזמן","mcwot","אכילת הפסח השני","sug/akylt_hpsx_hjny.html",,,,11/07/2004 11:55:28
"בשר הפסח השני","מזמן","mcwot","בשר הפסח השני","sug/bjr_hpsx_hjny.html",,,,11/07/2004 11:55:28
"עשיית פסח שני","מזמן","mcwot","עשיית פסח שני","sug/ejyyt_psx_jny.html",,,,11/07/2004 11:55:28
"3 שנים","מזמן","mcwot_erua","השנה השלישית והשנה השישית - סיום מחזור של מעשרות","sug/erua_zmn_3jnym.html",,,,11/07/2004 12:09:46
"מצוות תמידיות","מרגע","mcwot","מצוות תמידיות - מצוות שאינן תלויות בארוע, עצם או רצון","sug/rga.html",,,,11/07/2004 15:17:02
"הקרבת אשם","מעצם","mcwot","הקרבת אשם","sug/ajm.html",,,,11/07/2004 18:07:26
"פחד בדין","מארוע","mcwot","האיסור לפחד מפני בעלי-הדין","sug/pxd_bdyn.html",,,,11/07/2004 19:24:53
"איש ואשה","מאדם","mcwot_ecm","איש, אישה ומה שביניהם","sug/ecm_ayjh.html",,,,12/07/2004 9:16:54
"הקדשת מחיר כלב","מרצון","mcwot","איסור הקדשת מחיר כלב","sug/hqdjt_klb.html",,,,12/07/2004 14:12:52
"הקרבה - חיות","מרצון","mcwot_rcon","הקרבת בעלי-חיים כלשהם","sug/rcon-ecm_hqrbh-bhmh.html",,,,12/07/2004 14:17:53
"חוטא קבוע","מעצם","mcwot_ecm","היחס לבעל-עבירות (אדם שחוטא באופן קבוע)","sug/ecm_xwfa_qbwe.html",,,,13/07/2004 19:54:33
"עד זומם","מאדם","mcwot","עד זומם = עד שמעיד על פשע שלא ראה","sug/ed_zwmm.html",,,,13/07/2004 19:59:09
"אבלות - מוות אדם - אדם מת","מארוע","mcwot_erua","אֵבֶל על מות אדם","sug/erua_ablwt.html",,,,14/07/2004 9:56:06
"חובת האדם מבני נוח","מאדם","mcwot","חובת האדם מבני נוח","sug/xwbt_hadm_mbny_nwx.html",,,,14/07/2004 10:00:01
"חובת האדם מישראל","מאדם","mcwot","חובת האדם מישראל","sug/xwbt_hadm_myjral.html",,,,14/07/2004 10:00:01
"חובת האישה מישראל","מאדם","mcwot","חובת האשה מישראל","sug/xwbt_hajh_myjral.html",,,,14/07/2004 10:00:01
"חובת הגבר מישראל","מאדם","mcwot","חובת הגבר מישראל","sug/xwbt_hgbr_myjral.html",,,,14/07/2004 10:00:01
"חובת הכה""ג","מאדם","mcwot","חובת הכוהן הגדול","sug/xwbt_hkh_g.html",,,,14/07/2004 10:00:01
"חובת הכהן","מאדם","mcwot","חובת הכהן","sug/xwbt_hkhn.html",,,,14/07/2004 10:00:01
"חובת הלוי","מאדם","mcwot","חובת הלוי","sug/xwbt_hlwy.html",,,,14/07/2004 10:00:01
"חובת המלך","מאדם","mcwot","חובת המלך","sug/xwbt_hmlk.html",,,,14/07/2004 10:00:01
"חובת הציבור","מאדם","mcwot","חובת הציבור","sug/xwbt_hcybwr.html",,,,14/07/2004 10:00:01
"חובת השופט","מאדם","mcwot","חובת השופטים","sug/xwbt_hjwpf.html",,,,14/07/2004 10:00:01
"מצוות לפי חייב","מאדם","mcwot","מצוות מסודרות לפי החייב במצוה","sug/xwbt.html",,,,14/07/2004 10:00:11
"כהנים בעבודת הלויים","מרצון","mcwot","כהנים בעבודת הלויים","sug/khnym_bebwdt_hlwyym.html",,,,14/07/2004 10:29:13
"לויים בעבודת הכהנים","מרצון","mcwot","לויים בעבודת הכהנים","sug/lwyym_bebwdt_hkhnym.html",,,,14/07/2004 10:29:13
"עבודת הלויים במקדש","מזמן","mcwot","עבודת הלויים במקדש","sug/ebwdt_hlwyym_bmqdj.html",,,,14/07/2004 10:29:13
"שחיטת בעלי מום","מרצון","mcwot","שחיטת בעלי מום","sug/jxyft_bely_mwm.html",,,,14/07/2004 10:29:13
"שחיטת קרבן הפסח","מזמן","mcwot","שחיטת קרבן הפסח","sug/jxyft_qrbn_hpsx.html",,,,14/07/2004 10:29:13
"דין מפתה","מארוע","mcwot","דינו של גבר שמפתה נערה בתולה","sug/dyn_mpth.html",,,,14/07/2004 18:57:10
"דיבור - זמן","מזמן","mcwot_erua","דברים שצריך להגיד בזמנים מסויימים","sug/erua_zmn_dybwr.html",,,,15/07/2004 7:31:52
"מגרשי הלויים","מעצם","mcwot","השארת מגרש פנוי סביב ערי הלויים","sug/mgrjy_hlwyym.html",,,,15/07/2004 8:04:10
"מתנות מקדש","מערך","mcwot_rcon","מתנות שניתנות לאוצר המקדש","sug/rayon_mtnwt_mqdj.html",,,,15/07/2004 9:00:54
"איברי הרביה","מעצם","mcwot_ecm","איברי הרביה","sug/ecm_abry_rbyh.html",,,,15/07/2004 9:37:02
"קרקע","מעצם","mcwot_ecm","קרקע","sug/ecm_qrqe.html",,,,15/07/2004 20:15:53
"אבל על קרובים","מארוע","mcwot","המצוה להתאבל על קרובי משפחה","sug/abl_el_qrwbym.html",,,,18/07/2004 13:21:31
"טומאת המת","מארוע","mcwot","טומאת המת","sug/fwmat_hmt.html",,,,18/07/2004 13:26:00
"בתולה","מעצם","mcwot_ecm","נערה בתולה","sug/ecm_btwlh.html",,,,18/07/2004 15:15:08
"הוצאה להורג בלא משפט","מאדם","mcwot","איסור הוצאה להורג ללא משפט","sug/zhyrwt_bewnj_mwwt.html",,,,19/07/2004 10:40:36
"בגד","מעצם","mcwot_ecm","בגד","sug/ecm_bgd.html",,,,20/07/2004 20:10:57
"מזון","מעצם","mcwot_ecm","מזון","sug/ecm_mzwn.html",,,,20/07/2004 20:10:57
"פרי הגפן","מעצם","mcwot_ecm","פרי הגפן","sug/ecm_pry_hgpn.html",,,,20/07/2004 20:10:57
"שבויה","מעצם","mcwot_ecm","שבויה","sug/ecm_jbwyh.html",,,,20/07/2004 20:10:57
"תרומה","מעצם","mcwot_ecm","התרומה הניתנת לכהנים","sug/ecm_trwmh.html",,,,20/07/2004 20:11:43
"גירושין","מרצון","mcwot_rcon","גירושין","sug/rcon_gyrwjyn.html",,,,20/07/2004 20:18:14
"זריעה","מרצון","mcwot_rcon","זריעה","sug/rcon_zryeh.html",,,,20/07/2004 20:18:14
"חיי נישואין","מרצון","mcwot_rcon","חיי נישואין","sug/rcon_xyy_nyjwayn.html",,,,20/07/2004 20:18:14
"לבישה","מרצון","mcwot_rcon","לבישה","sug/rcon_lbyjh.html",,,,20/07/2004 20:18:14
"קצירה","מרצון","mcwot_rcon","קצירה","sug/rcon_qcyrh.html",,,,20/07/2004 20:18:14
"יראת הורים","מאדם","mcwot","המצוה לירוא מפני הורים","sug/yrat_hwrym_klly.html",,,,21/07/2004 8:32:45
"יחסי מין בין קרובים 2","מרצון","mcwot","איסור יחסי מין בין קרובים מדרגה שניה","sug/yxsy_myn_byn_qrwbym2.html",,,,21/07/2004 8:42:22
"סיווג מתנות כהנים","מאמר",,"סיווג מתנות הכהנים","http://mechon-mamre.org/i/7601.htm","רמב""ם","ביכורים א",,21/07/2004 9:39:18
"מצוות בני נוח","מאמר",,"מצוות בני נוח","http://mechon-mamre.org/i/e509.htm","רמב""ם","מלכים ט",,21/07/2004 9:40:41
"בחירת בת זוג","מרצון","mcwot_rcon","בחירת בן או בת זוג לנישואין","sug/rcon_bxyrt_bt_zwg.html",,,,21/07/2004 10:48:18
"ברכת המזון ברשת","דרך",,"ברכת המזון ברשת","http://www21.brinkster.com/eBirkon/index.html",,,,21/07/2004 12:47:18
"חובת הנזיר","מאדם","mcwot","חובת הנזיר","sug/xwbt_hnzir.html",,,,21/07/2004 13:21:31
"גדולים שלנו","דיון",,"גדולים שלנו - האפשר בלי?","../axrimpl/hydepark/922779_1.html","יוריקס","""עצור כאן חושבים""",,21/07/2004 22:05:31
"אלילים בימינו?","דיון",,"עבודה זרה בימינו - שאלות ודיון","../axrimpl/hydepark/935776_1.html",,"""עצור כאן חושבים""",,21/07/2004 22:05:31
"אי ודאות","אוסף","osf","מצבי ספק - מצבים שבהם לא ידוע בוודאות מהו רצון ה'","mamr/sfq.html",,,,22/07/2004 9:23:11
"עובדי הרשויות המקומיות","דרך",,"מחאה בעניין עובדי הרשויות המקומיות","../axrimpl/hydepark/955688_1.html","ישרן","""עצור כאן חושבים""",,21/07/2004 22:05:31
"4 מיתות בית דין","טעם",,"4 מיתות בית דין","../axrimpl/hydepark/977833_1.html",,"""עצור כאן חושבים""",,21/07/2004 22:05:31
"לאיזו ישיבה לתרום?","דיון",,"לאיזו ישיבה לתרום?","../axrimpl/hydepark/978479_1.html",,"""עצור כאן חושבים""",,21/07/2004 22:05:31
"כדת משה וישראל","מאמר",,"הנוסח ""כדת משה וישראל"" באירוסין","../axrimpl/hydepark/978561_1.html","נישטאיך","""עצור כאן חושבים""",,21/07/2004 22:05:31
"ספר רזיאל","דרך",,"ספר ""רזיאל""","../axrimpl/hydepark/978154_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:31
"קדמות הזוהר?","דיון",,"ויכוח על קדמות הזוהר באתר ""שופר""","../axrimpl/hydepark/981207_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:31
"שמיטה ה'תשס""ח והטרור עכ""ח","דיון",,"שמיטה ה'תשס""ח והטרור","../axrimpl/hydepark/971298_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:31
"שמיטה ה'תשס""ח והטרור דרישה","דיון",,"שמיטה ה'תשס""ח והטרור","../axrimpl/hydepark/970972_1.html",,"דרישת השם באמצעות התורה שבכתב",,21/07/2004 22:05:31
"על הגמחים עכ""ח","דיון",,"גמ""חי כספים - האורות והצללים","../axrimpl/hydepark/995029_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:31
"מופעי רחוב בחינם?","דיון",,"האם מותר להסתכל על מופעי רחוב בלי לשלם?","../axrimpl/hydepark/1000513_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:31
"ברכת מצוות מדרבנן","דיון",,"מצוות שהוסיפו הרבנים, וברכות על מצוות אלו","../axrimpl/hydepark/980921_1.html",,"דרישת השם באמצעות התורה שבכתב",,21/07/2004 22:05:31
"נדר?","הגדרה",,"מהו נדר?","../axrimpl/hydepark/970260_1.html",,"דרישת השם באמצעות התורה שבכתב",,21/07/2004 22:05:31
"חדש אסור מן התורה","דיון",,"חדש אסור מן התורה - סתירה","../axrimpl/hydepark/998113_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:31
"ספק 1","דיון",,"ספק 1 - חינוך ילדים","../axrimpl/moreshet/2402.html","ר' שרלו","שות מורשת",,21/07/2004 22:05:31
"ספק 2","דיון",,"ספק 2 - שב ואל תעשה?","../axrimpl/moreshet/5278.html","ר' שרלו","שות מורשת",,21/07/2004 22:05:31
"כנס י""ז בתמוז","דיון",,"כנס י""ז בתמוז ה'תשס""ד","../axrimpl/hydepark/1006815_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:31
"רלבנטיזציה","מאמר",,"רלבנטיזציה = תרגום מנהגים עתיקים בהתאם לבעיות השעה","../axrimpl/hydepark/1021825_1.html","אראל","עצור כאן חושבים",,21/07/2004 22:05:31
"מצוה להאמין?","דיון",,"האם תיתכן מצוה להאמין?","../axrimpl/hydepark/587218_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:31
"כיבוד הורים וספק","מאמר",,"האם המהר""ם מרוטנבורג לא כיבד את אביו בגלל ספק במצוות כיבוד הורים?","../axrimpl/hydepark/1026480_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:32
"המהפכה הפרושית","מאמר",,"המהפכה הפרושית","../axrimpl/hydepark/1012627_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:32
"תפילין במוסף ראש חודש","מאמר",,"תפילין במוסף ראש חודש","../axrimpl/hydepark/1028472_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:32
"אחריות חברתית לעזרה לזולת","דיון",,"האחריות החברתית לעזרה לזולת","../axrimpl/hydepark/1014177_1.html",,"עצור כאן חושבים",,21/07/2004 22:05:32
"תפילין בבית הקברות","מאמר",,"תפילין בבית הקברות","../axrimpl/moreshet/41525.html","ר' שלמה לוי","שות מורשת",,22/07/2004 9:28:42
"סיכום תפקיד הלויים","מאמר",,"סיכום תפקיד הלויים במקדש","http://www.mechon-mamre.org/i/8203.htm","רמב""ם","כלי המקדש ג",,22/07/2004 9:51:40
"חצוצרות במלחמה","מארוע","mcwot","תקיעת חצוצרות במלחמה ובכל צרה שבאה על עם ישראל","sug/xcwcrwt_bmlxmh.html",,,,04/07/2004 15:01:14
"תורה וכסף","אוסף","osf","כסף תמורת לימוד תורה","mamr/ksf.html",,,,22/07/2004 10:05:20
"אי ודאות!","אוסף","osf","התמודדות עם מצבי ספק","mamr/sfq1.html",,,,22/07/2004 10:40:58
